	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
364	36.14	307.43	307.43	307.43	
365	36.24	307.41	307.41	307.41	
366	36.34	307.4	307.4	307.4	
367	36.44	307.39	307.39	307.39	
368	36.54	307.38	307.38	307.38	
369	36.64	307.36	307.36	307.36	
370	36.74	307.35	307.35	307.35	
371	36.84	307.34	307.34	307.34	
372	36.94	307.33	307.33	307.33	
373	37.04	307.31	307.31	307.31	
374	37.14	307.3	307.3	307.3	
375	37.24	307.29	307.29	307.29	
376	37.34	307.28	307.28	307.28	
377	37.44	307.26	307.26	307.26	
378	37.54	307.25	307.25	307.25	
379	37.64	307.24	307.24	307.24	
380	37.74	307.22	307.22	307.22	
381	37.84	307.21	307.21	307.21	
382	37.94	307.2	307.2	307.2	
383	38.04	307.19	307.19	307.19	
384	38.14	307.17	307.17	307.17	
385	38.24	307.16	307.16	307.16	
386	38.34	307.15	307.15	307.15	
387	38.44	307.14	307.14	307.14	
388	38.54	307.12	307.12	307.12	
389	38.64	307.11	307.11	307.11	
390	38.74	307.1	307.1	307.1	
391	38.84	307.09	307.09	307.09	
392	38.94	307.07	307.07	307.07	
393	39.04	307.06	307.06	307.06	
394	39.14	307.05	307.05	307.05	
395	39.24	307.04	307.04	307.04	
396	39.34	307.02	307.02	307.02	
397	39.44	307.01	307.01	307.01	
398	39.54	307.	307.	307.	
399	39.64	306.99	306.99	306.99	
400	39.74	306.97	306.97	306.97	
401	39.84	306.96	306.96	306.96	
402	39.94	306.95	306.95	306.95	
403	40.04	306.94	306.94	306.94	
404	40.14	306.92	306.92	306.92	
405	40.24	306.91	306.91	306.91	
406	40.34	306.9	306.9	306.9	
407	40.44	306.89	306.89	306.89	
408	40.54	306.87	306.87	306.87	
409	40.64	306.86	306.86	306.86	
410	40.74	306.85	306.85	306.85	
411	40.84	306.84	306.84	306.84	
412	40.94	306.82	306.82	306.82	
413	41.04	306.81	306.81	306.81	
414	41.14	306.8	306.8	306.8	
415	41.24	306.79	306.79	306.79	
416	41.34	306.77	306.77	306.77	
417	41.44	306.76	306.76	306.76	
418	41.54	306.75	306.75	306.75	
419	41.64	306.74	306.74	306.74	
420	41.74	306.72	306.72	306.72	
421	41.84	306.71	306.71	306.71	
422	41.94	306.7	306.7	306.7	
423	42.04	306.69	306.69	306.69	
424	42.14	306.67	306.67	306.67	
425	42.24	306.66	306.66	306.66	
426	42.34	306.65	306.65	306.65	
427	42.44	306.64	306.64	306.64	
428	42.54	306.63	306.63	306.63	
429	42.64	306.61	306.61	306.61	
430	42.74	306.6	306.6	306.6	
431	42.84	306.59	306.59	306.59	
432	42.94	306.58	306.58	306.58	
433	43.04	306.56	306.56	306.56	
434	43.14	306.55	306.55	306.55	
435	43.24	306.54	306.54	306.54	
436	43.34	306.53	306.53	306.53	
437	43.44	306.51	306.51	306.51	
438	43.54	306.5	306.5	306.5	
439	43.64	306.49	306.49	306.49	
440	43.74	306.48	306.48	306.48	
441	43.84	306.46	306.46	306.46	
442	43.94	306.45	306.45	306.45	
443	44.04	306.44	306.44	306.44	
444	44.14	306.43	306.43	306.43	
445	44.24	306.42	306.42	306.42	
446	44.34	306.4	306.4	306.4	
447	44.44	306.39	306.39	306.39	
448	44.54	306.38	306.38	306.38	
449	44.64	306.37	306.37	306.37	
450	44.74	306.35	306.35	306.35	
451	44.84	306.34	306.34	306.34	
452	44.94	306.33	306.33	306.33	
453	45.04	306.32	306.32	306.32	
454	45.14	306.31	306.31	306.31	
455	45.24	306.29	306.29	306.29	
456	45.34	306.28	306.28	306.28	
457	45.44	306.27	306.27	306.27	
458	45.54	306.26	306.26	306.26	
459	45.64	306.24	306.24	306.24	
460	45.74	306.23	306.23	306.23	
461	45.84	306.22	306.22	306.22	
462	45.94	306.21	306.21	306.21	
463	46.04	306.2	306.2	306.2	
464	46.14	306.18	306.18	306.18	
465	46.24	306.17	306.17	306.17	
466	46.34	306.16	306.16	306.16	
467	46.44	306.15	306.15	306.15	
468	46.54	306.13	306.13	306.13	
469	46.64	306.12	306.12	306.12	
470	46.74	306.11	306.11	306.11	
471	46.84	306.1	306.1	306.1	
472	46.94	306.09	306.09	306.09	
473	47.04	306.07	306.07	306.07	
474	47.14	306.06	306.06	306.06	
475	47.24	306.05	306.05	306.05	
476	47.34	306.04	306.04	306.04	
477	47.44	306.03	306.03	306.03	
478	47.54	306.01	306.01	306.01	
479	47.64	306.	306.	306.	
480	47.74	305.99	305.99	305.99	
481	47.84	305.98	305.98	305.98	
482	47.94	305.96	305.96	305.96	
483	48.04	305.95	305.95	305.95	
484	48.14	305.94	305.94	305.94	
485	48.24	305.93	305.93	305.93	
486	48.34	305.92	305.92	305.92	
487	48.44	305.9	305.9	305.9	
488	48.54	305.89	305.89	305.89	
489	48.64	305.88	305.88	305.88	
490	48.74	305.87	305.87	305.87	
491	48.84	305.86	305.86	305.86	
492	48.94	305.84	305.84	305.84	
493	49.04	305.83	305.83	305.83	
494	49.14	305.82	305.82	305.82	
495	49.24	305.81	305.81	305.81	
496	49.34	305.8	305.8	305.8	
497	49.44	305.78	305.78	305.78	
498	49.54	305.77	305.77	305.77	
499	49.64	305.76	305.76	305.76	
500	49.74	305.75	305.75	305.75	
501	49.84	305.74	305.74	305.74	
502	49.94	305.72	305.72	305.72	
503	50.04	305.71	305.71	305.71	
504	50.14	305.7	305.7	305.7	
505	50.24	305.69	305.69	305.69	
506	50.34	305.68	305.68	305.68	
507	50.44	305.67	305.67	305.67	
508	50.54	305.65	305.65	305.65	
509	50.64	305.64	305.64	305.64	
510	50.74	305.63	305.63	305.63	
511	50.84	305.62	305.62	305.62	
512	50.94	305.61	305.61	305.61	
513	51.04	305.59	305.59	305.59	
514	51.14	305.58	305.58	305.58	
515	51.24	305.57	305.57	305.57	
516	51.34	305.56	305.56	305.56	
517	51.44	305.55	305.55	305.55	
518	51.54	305.54	305.54	305.54	
519	51.64	305.52	305.52	305.52	
520	51.74	305.51	305.51	305.51	
521	51.84	305.5	305.5	305.5	
522	51.94	305.49	305.49	305.49	
523	52.04	305.48	305.48	305.48	
524	52.14	305.46	305.46	305.46	
525	52.24	305.45	305.45	305.45	
526	52.34	305.44	305.44	305.44	
527	52.44	305.43	305.43	305.43	
528	52.54	305.42	305.42	305.42	
529	52.64	305.41	305.41	305.41	
530	52.74	305.39	305.39	305.39	
531	52.84	305.38	305.38	305.38	
532	52.94	305.37	305.37	305.37	
533	53.04	305.36	305.36	305.36	
534	53.14	305.35	305.35	305.35	
535	53.24	305.34	305.34	305.34	
536	53.34	305.32	305.32	305.32	
537	53.44	305.31	305.31	305.31	
538	53.54	305.3	305.3	305.3	
539	53.64	305.29	305.29	305.29	
540	53.74	305.28	305.28	305.28	
541	53.84	305.27	305.27	305.27	
542	53.94	305.25	305.25	305.25	
543	54.04	305.24	305.24	305.24	
544	54.14	305.23	305.23	305.23	
545	54.24	305.22	305.22	305.22	
546	54.34	305.21	305.21	305.21	
547	54.44	305.2	305.2	305.2	
548	54.54	305.18	305.18	305.18	
549	54.64	305.17	305.17	305.17	
550	54.74	305.16	305.16	305.16	
551	54.84	305.15	305.15	305.15	
552	54.94	305.14	305.14	305.14	
553	55.04	305.13	305.13	305.13	
554	55.14	305.12	305.12	305.12	
555	55.24	305.1	305.1	305.1	
556	55.34	305.09	305.09	305.09	
557	55.44	305.08	305.08	305.08	
558	55.54	305.07	305.07	305.07	
559	55.64	305.06	305.06	305.06	
560	55.74	305.05	305.05	305.05	
561	55.84	305.03	305.03	305.03	
562	55.94	305.02	305.02	305.02	
563	56.04	305.01	305.01	305.01	
564	56.14	305.	305.	305.	
565	56.24	304.99	304.99	304.99	
566	56.34	304.98	304.98	304.98	
567	56.44	304.97	304.97	304.97	
568	56.54	304.95	304.95	304.95	
569	56.64	304.94	304.94	304.94	
570	56.74	304.93	304.93	304.93	
571	56.84	304.92	304.92	304.92	
572	56.94	304.91	304.91	304.91	
573	57.04	304.9	304.9	304.9	
574	57.14	304.89	304.89	304.89	
575	57.24	304.88	304.88	304.88	
576	57.34	304.86	304.86	304.86	
577	57.44	304.85	304.85	304.85	
578	57.54	304.84	304.84	304.84	
579	57.64	304.83	304.83	304.83	
580	57.74	304.82	304.82	304.82	
581	57.84	304.81	304.81	304.81	
582	57.94	304.8	304.8	304.8	
583	58.04	304.78	304.78	304.78	
584	58.14	304.77	304.77	304.77	
585	58.24	304.76	304.76	304.76	
586	58.34	304.75	304.75	304.75	
587	58.44	304.74	304.74	304.74	
588	58.54	304.73	304.73	304.73	
589	58.64	304.72	304.72	304.72	
590	58.74	304.71	304.71	304.71	
591	58.84	304.69	304.69	304.69	
592	58.94	304.68	304.68	304.68	
593	59.04	304.67	304.67	304.67	
594	59.14	304.66	304.66	304.66	
595	59.24	304.65	304.65	304.65	
596	59.34	304.64	304.64	304.64	
597	59.44	304.63	304.63	304.63	
598	59.54	304.62	304.62	304.62	
599	59.64	304.6	304.6	304.6	
600	59.74	304.59	304.59	304.59	
601	59.84	304.58	304.58	304.58	
602	59.94	304.57	304.57	304.57	
603	60.04	304.56	304.56	304.56	
604	60.14	304.55	304.55	304.55	
605	60.24	304.54	304.54	304.54	
606	60.34	304.53	304.53	304.53	
607	60.44	304.52	304.52	304.52	
608	60.54	304.5	304.5	304.5	
609	60.64	304.49	304.49	304.49	
610	60.74	304.48	304.48	304.48	
611	60.84	304.47	304.47	304.47	
612	60.94	304.46	304.46	304.46	
613	61.04	304.45	304.45	304.45	
614	61.14	304.44	304.44	304.44	
615	61.24	304.43	304.43	304.43	
616	61.34	304.42	304.42	304.42	
617	61.44	304.4	304.4	304.4	
618	61.54	304.39	304.39	304.39	
619	61.64	304.38	304.38	304.38	
620	61.74	304.37	304.37	304.37	
621	61.84	304.36	304.36	304.36	
622	61.94	304.35	304.35	304.35	
623	62.04	304.34	304.34	304.34	
624	62.14	304.33	304.33	304.33	
625	62.24	304.32	304.32	304.32	
626	62.34	304.31	304.31	304.31	
627	62.44	304.3	304.3	304.3	
628	62.54	304.28	304.28	304.28	
629	62.64	304.27	304.27	304.27	
630	62.74	304.26	304.26	304.26	
631	62.84	304.25	304.25	304.25	
632	62.94	304.24	304.24	304.24	
633	63.04	304.23	304.23	304.23	
634	63.14	304.22	304.22	304.22	
635	63.24	304.21	304.21	304.21	
636	63.34	304.2	304.2	304.2	
637	63.44	304.19	304.19	304.19	
638	63.54	304.18	304.18	304.18	
639	63.64	304.16	304.16	304.16	
640	63.74	304.15	304.15	304.15	
641	63.84	304.14	304.14	304.14	
642	63.94	304.13	304.13	304.13	
643	64.04	304.12	304.12	304.12	
644	64.14	304.11	304.11	304.11	
645	64.24	304.1	304.1	304.1	
646	64.34	304.09	304.09	304.09	
647	64.44	304.08	304.08	304.08	
648	64.54	304.07	304.07	304.07	
649	64.64	304.06	304.06	304.06	
650	64.74	304.05	304.05	304.05	
651	64.84	304.03	304.03	304.03	
652	64.94	304.02	304.02	304.02	
653	65.04	304.01	304.01	304.01	
654	65.14	304.	304.	304.	
655	65.24	303.99	303.99	303.99	
656	65.34	303.98	303.98	303.98	
657	65.44	303.97	303.97	303.97	
658	65.54	303.96	303.96	303.96	
659	65.64	303.95	303.95	303.95	
660	65.74	303.94	303.94	303.94	
661	65.84	303.93	303.93	303.93	
662	65.94	303.92	303.92	303.92	
663	66.04	303.91	303.91	303.91	
664	66.14	303.9	303.9	303.9	
665	66.24	303.88	303.88	303.88	
666	66.34	303.87	303.87	303.87	
667	66.44	303.86	303.86	303.86	
668	66.54	303.85	303.85	303.85	
669	66.64	303.84	303.84	303.84	
670	66.74	303.83	303.83	303.83	
671	66.84	303.82	303.82	303.82	
672	66.94	303.81	303.81	303.81	
673	67.04	303.8	303.8	303.8	
674	67.14	303.79	303.79	303.79	
675	67.24	303.78	303.78	303.78	
676	67.34	303.77	303.77	303.77	
677	67.44	303.76	303.76	303.76	
678	67.54	303.75	303.75	303.75	
679	67.64	303.74	303.74	303.74	
680	67.74	303.73	303.73	303.73	
681	67.84	303.72	303.72	303.72	
682	67.94	303.7	303.7	303.7	
683	68.04	303.69	303.69	303.69	
684	68.14	303.68	303.68	303.68	
685	68.24	303.67	303.67	303.67	
686	68.34	303.66	303.66	303.66	
687	68.44	303.65	303.65	303.65	
688	68.54	303.64	303.64	303.64	
689	68.64	303.63	303.63	303.63	
690	68.74	303.62	303.62	303.62	
691	68.84	303.61	303.61	303.61	
