	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
228	22.54	310.15	310.15	310.15	
229	22.64	310.15	310.15	310.15	
230	22.74	310.15	310.15	310.15	
231	22.84	310.15	310.15	310.15	
232	22.94	310.15	310.15	310.15	
233	23.04	310.15	310.15	310.15	
234	23.14	310.15	310.15	310.15	
235	23.24	310.15	310.15	310.15	
236	23.34	310.15	310.15	310.15	
237	23.44	310.15	310.15	310.15	
238	23.54	310.15	310.15	310.15	
239	23.64	310.15	310.15	310.15	
240	23.74	310.15	310.15	310.15	
241	23.84	310.15	310.15	310.15	
242	23.94	310.15	310.15	310.15	
243	24.04	310.15	310.15	310.15	
244	24.14	310.15	310.15	310.15	
245	24.24	310.15	310.15	310.15	
246	24.34	310.15	310.15	310.15	
247	24.44	310.15	310.15	310.15	
248	24.54	310.15	310.15	310.15	
249	24.64	310.15	310.15	310.15	
250	24.74	310.15	310.15	310.15	
251	24.84	310.15	310.15	310.15	
252	24.94	310.15	310.15	310.15	
253	25.04	310.15	310.15	310.15	
254	25.14	310.15	310.15	310.15	
255	25.24	310.15	310.15	310.15	
256	25.34	310.15	310.15	310.15	
257	25.44	310.15	310.15	310.15	
258	25.54	310.15	310.15	310.15	
259	25.64	310.15	310.15	310.15	
260	25.74	310.15	310.15	310.15	
261	25.84	310.15	310.15	310.15	
262	25.94	310.15	310.15	310.15	
263	26.04	310.15	310.15	310.15	
264	26.14	310.15	310.15	310.15	
265	26.24	310.15	310.15	310.15	
266	26.34	310.15	310.15	310.15	
267	26.44	310.15	310.15	310.15	
268	26.54	310.15	310.15	310.15	
269	26.64	310.15	310.15	310.15	
270	26.74	310.15	310.15	310.15	
271	26.84	310.15	310.15	310.15	
272	26.94	310.15	310.15	310.15	
273	27.04	310.15	310.15	310.15	
274	27.14	310.15	310.15	310.15	
275	27.24	310.15	310.15	310.15	
276	27.34	310.15	310.15	310.15	
277	27.44	310.15	310.15	310.15	
278	27.54	310.15	310.15	310.15	
279	27.64	310.15	310.15	310.15	
280	27.74	310.15	310.15	310.15	
281	27.84	310.15	310.15	310.15	
282	27.94	310.15	310.15	310.15	
283	28.04	310.15	310.15	310.15	
284	28.14	310.15	310.15	310.15	
285	28.24	310.15	310.15	310.15	
286	28.34	310.15	310.15	310.15	
287	28.44	310.15	310.15	310.15	
288	28.54	310.15	310.15	310.15	
289	28.64	310.15	310.15	310.15	
290	28.74	310.15	310.15	310.15	
291	28.84	310.15	310.15	310.15	
292	28.94	310.15	310.15	310.15	
293	29.04	310.15	310.15	310.15	
294	29.14	310.15	310.15	310.15	
295	29.24	310.15	310.15	310.15	
296	29.34	310.15	310.15	310.15	
297	29.44	310.15	310.15	310.15	
298	29.54	310.15	310.15	310.15	
299	29.64	310.15	310.15	310.15	
300	29.74	310.15	310.15	310.15	
301	29.84	310.15	310.15	310.15	
302	29.94	310.15	310.15	310.15	
303	30.04	310.15	310.15	310.15	
304	30.14	310.15	310.15	310.15	
305	30.24	310.15	310.15	310.15	
306	30.34	310.15	310.15	310.15	
307	30.44	310.15	310.15	310.15	
308	30.54	310.15	310.15	310.15	
309	30.64	310.15	310.15	310.15	
310	30.74	310.15	310.15	310.15	
311	30.84	310.15	310.15	310.15	
312	30.94	310.15	310.15	310.15	
313	31.04	310.15	310.15	310.15	
314	31.14	310.15	310.15	310.15	
315	31.24	310.15	310.15	310.15	
316	31.34	310.15	310.15	310.15	
317	31.44	310.15	310.15	310.15	
318	31.54	310.15	310.15	310.15	
319	31.64	310.15	310.15	310.15	
320	31.74	310.15	310.15	310.15	
321	31.84	310.15	310.15	310.15	
322	31.94	310.15	310.15	310.15	
323	32.04	310.15	310.15	310.15	
324	32.14	310.15	310.15	310.15	
325	32.24	310.15	310.15	310.15	
326	32.34	310.15	310.15	310.15	
327	32.44	310.15	310.15	310.15	
328	32.54	310.15	310.15	310.15	
329	32.64	310.15	310.15	310.15	
330	32.74	310.15	310.15	310.15	
331	32.84	310.15	310.15	310.15	
332	32.94	310.15	310.15	310.15	
333	33.04	310.15	310.15	310.15	
334	33.14	310.15	310.15	310.15	
335	33.24	310.15	310.15	310.15	
336	33.34	310.15	310.15	310.15	
337	33.44	310.15	310.15	310.15	
338	33.54	310.15	310.15	310.15	
339	33.64	310.15	310.15	310.15	
340	33.74	310.15	310.15	310.15	
341	33.84	310.15	310.15	310.15	
342	33.94	310.15	310.15	310.15	
343	34.04	310.15	310.15	310.15	
344	34.14	310.15	310.15	310.15	
345	34.24	310.15	310.15	310.15	
346	34.34	310.15	310.15	310.15	
347	34.44	310.15	310.15	310.15	
348	34.54	310.15	310.15	310.15	
349	34.64	310.15	310.15	310.15	
350	34.74	310.15	310.15	310.15	
351	34.84	310.15	310.15	310.15	
352	34.94	310.15	310.15	310.15	
353	35.04	310.15	310.15	310.15	
354	35.14	310.15	310.15	310.15	
355	35.24	310.15	310.15	310.15	
356	35.34	310.15	310.15	310.15	
357	35.44	310.15	310.15	310.15	
358	35.54	310.15	310.15	310.15	
359	35.64	310.15	310.15	310.15	
360	35.74	310.15	310.15	310.15	
361	35.84	310.15	310.15	310.15	
362	35.94	310.15	310.15	310.15	
363	36.04	310.15	310.15	310.15	
364	36.14	310.15	310.15	310.15	
365	36.24	310.15	310.15	310.15	
366	36.34	310.15	310.15	310.15	
367	36.44	310.15	310.15	310.15	
368	36.54	310.15	310.15	310.15	
369	36.64	310.15	310.15	310.15	
370	36.74	310.15	310.15	310.15	
371	36.84	310.15	310.15	310.15	
372	36.94	310.15	310.15	310.15	
373	37.04	310.15	310.15	310.15	
374	37.14	310.15	310.15	310.15	
375	37.24	310.15	310.15	310.15	
376	37.34	310.15	310.15	310.15	
377	37.44	310.15	310.15	310.15	
378	37.54	310.15	310.15	310.15	
379	37.64	310.15	310.15	310.15	
380	37.74	310.15	310.15	310.15	
381	37.84	310.15	310.15	310.15	
382	37.94	310.15	310.15	310.15	
383	38.04	310.15	310.15	310.15	
384	38.14	310.15	310.15	310.15	
385	38.24	310.15	310.15	310.15	
386	38.34	310.15	310.15	310.15	
387	38.44	310.15	310.15	310.15	
388	38.54	310.15	310.15	310.15	
389	38.64	310.15	310.15	310.15	
390	38.74	310.15	310.15	310.15	
391	38.84	310.15	310.15	310.15	
392	38.94	310.15	310.15	310.15	
393	39.04	310.15	310.15	310.15	
394	39.14	310.15	310.15	310.15	
395	39.24	310.15	310.15	310.15	
396	39.34	310.15	310.15	310.15	
397	39.44	310.15	310.15	310.15	
398	39.54	310.15	310.15	310.15	
399	39.64	310.15	310.15	310.15	
400	39.74	310.15	310.15	310.15	
401	39.84	310.15	310.15	310.15	
402	39.94	310.15	310.15	310.15	
403	40.04	310.15	310.15	310.15	
404	40.14	310.15	310.15	310.15	
405	40.24	310.15	310.15	310.15	
406	40.34	310.15	310.15	310.15	
407	40.44	310.15	310.15	310.15	
408	40.54	310.15	310.15	310.15	
409	40.64	310.15	310.15	310.15	
410	40.74	310.15	310.15	310.15	
411	40.84	310.15	310.15	310.15	
412	40.94	310.15	310.15	310.15	
413	41.04	310.15	310.15	310.15	
414	41.14	310.15	310.15	310.15	
415	41.24	310.15	310.15	310.15	
416	41.34	310.15	310.15	310.15	
417	41.44	310.15	310.15	310.15	
418	41.54	310.15	310.15	310.15	
419	41.64	310.15	310.15	310.15	
420	41.74	310.15	310.15	310.15	
421	41.84	310.15	310.15	310.15	
422	41.94	310.15	310.15	310.15	
423	42.04	310.15	310.15	310.15	
424	42.14	310.15	310.15	310.15	
425	42.24	310.15	310.15	310.15	
426	42.34	310.15	310.15	310.15	
427	42.44	310.15	310.15	310.15	
428	42.54	310.15	310.15	310.15	
429	42.64	310.15	310.15	310.15	
430	42.74	310.15	310.15	310.15	
431	42.84	310.15	310.15	310.15	
432	42.94	310.15	310.15	310.15	
433	43.04	310.15	310.15	310.15	
434	43.14	310.15	310.15	310.15	
435	43.24	310.15	310.15	310.15	
436	43.34	310.15	310.15	310.15	
437	43.44	310.15	310.15	310.15	
438	43.54	310.15	310.15	310.15	
439	43.64	310.15	310.15	310.15	
440	43.74	310.15	310.15	310.15	
441	43.84	310.15	310.15	310.15	
442	43.94	310.15	310.15	310.15	
443	44.04	310.15	310.15	310.15	
444	44.14	310.15	310.15	310.15	
445	44.24	310.15	310.15	310.15	
446	44.34	310.15	310.15	310.15	
447	44.44	310.15	310.15	310.15	
448	44.54	310.15	310.15	310.15	
449	44.64	310.15	310.15	310.15	
450	44.74	310.15	310.15	310.15	
451	44.84	310.15	310.15	310.15	
452	44.94	310.15	310.15	310.15	
453	45.04	310.15	310.15	310.15	
454	45.14	310.15	310.15	310.15	
455	45.24	310.15	310.15	310.15	
456	45.34	310.15	310.15	310.15	
457	45.44	310.15	310.15	310.15	
458	45.54	310.15	310.15	310.15	
459	45.64	310.15	310.15	310.15	
460	45.74	310.15	310.15	310.15	
461	45.84	310.15	310.15	310.15	
462	45.94	310.15	310.15	310.15	
463	46.04	310.15	310.15	310.15	
464	46.14	310.15	310.15	310.15	
465	46.24	310.15	310.15	310.15	
466	46.34	310.15	310.15	310.15	
467	46.44	310.15	310.15	310.15	
468	46.54	310.15	310.15	310.15	
469	46.64	310.15	310.15	310.15	
470	46.74	310.15	310.15	310.15	
471	46.84	310.15	310.15	310.15	
472	46.94	310.15	310.15	310.15	
473	47.04	310.15	310.15	310.15	
474	47.14	310.15	310.15	310.15	
475	47.24	310.15	310.15	310.15	
476	47.34	310.15	310.15	310.15	
477	47.44	310.15	310.15	310.15	
478	47.54	310.15	310.15	310.15	
479	47.64	310.15	310.15	310.15	
480	47.74	310.15	310.15	310.15	
481	47.84	310.15	310.15	310.15	
482	47.94	310.15	310.15	310.15	
483	48.04	310.15	310.15	310.15	
484	48.14	310.15	310.15	310.15	
485	48.24	310.15	310.15	310.15	
486	48.34	310.15	310.15	310.15	
487	48.44	310.15	310.15	310.15	
488	48.54	310.15	310.15	310.15	
489	48.64	310.15	310.15	310.15	
490	48.74	310.15	310.15	310.15	
491	48.84	310.15	310.15	310.15	
492	48.94	310.15	310.15	310.15	
493	49.04	310.15	310.15	310.15	
494	49.14	310.15	310.15	310.15	
495	49.24	310.15	310.15	310.15	
496	49.34	310.15	310.15	310.15	
497	49.44	310.15	310.15	310.15	
498	49.54	310.15	310.15	310.15	
499	49.64	310.15	310.15	310.15	
500	49.74	310.15	310.15	310.15	
501	49.84	310.15	310.15	310.15	
502	49.94	310.15	310.15	310.15	
503	50.04	310.15	310.15	310.15	
504	50.14	310.15	310.15	310.15	
505	50.24	310.15	310.15	310.15	
506	50.34	310.15	310.15	310.15	
507	50.44	310.15	310.15	310.15	
508	50.54	310.15	310.15	310.15	
509	50.64	310.15	310.15	310.15	
510	50.74	310.15	310.15	310.15	
511	50.84	310.15	310.15	310.15	
512	50.94	310.15	310.15	310.15	
513	51.04	310.15	310.15	310.15	
514	51.14	310.15	310.15	310.15	
515	51.24	310.15	310.15	310.15	
516	51.34	310.15	310.15	310.15	
517	51.44	310.15	310.15	310.15	
518	51.54	310.15	310.15	310.15	
519	51.64	310.15	310.15	310.15	
520	51.74	310.15	310.15	310.15	
521	51.84	310.15	310.15	310.15	
522	51.94	310.15	310.15	310.15	
523	52.04	310.15	310.15	310.15	
524	52.14	310.15	310.15	310.15	
525	52.24	310.15	310.15	310.15	
526	52.34	310.15	310.15	310.15	
527	52.44	310.15	310.15	310.15	
528	52.54	310.15	310.15	310.15	
529	52.64	310.15	310.15	310.15	
530	52.74	310.15	310.15	310.15	
531	52.84	310.15	310.15	310.15	
532	52.94	310.15	310.15	310.15	
533	53.04	310.15	310.15	310.15	
534	53.14	310.15	310.15	310.15	
535	53.24	310.15	310.15	310.15	
536	53.34	310.15	310.15	310.15	
537	53.44	310.15	310.15	310.15	
538	53.54	310.15	310.15	310.15	
539	53.64	310.15	310.15	310.15	
540	53.74	310.15	310.15	310.15	
541	53.84	310.15	310.15	310.15	
542	53.94	310.15	310.15	310.15	
543	54.04	310.15	310.15	310.15	
544	54.14	310.15	310.15	310.15	
545	54.24	310.15	310.15	310.15	
546	54.34	310.15	310.15	310.15	
547	54.44	310.15	310.15	310.15	
548	54.54	310.15	310.15	310.15	
549	54.64	310.15	310.15	310.15	
550	54.74	310.15	310.15	310.15	
551	54.84	310.15	310.15	310.15	
552	54.94	310.15	310.15	310.15	
553	55.04	310.15	310.15	310.15	
554	55.14	310.15	310.15	310.15	
555	55.24	310.15	310.15	310.15	
556	55.34	310.15	310.15	310.15	
557	55.44	310.15	310.15	310.15	
558	55.54	310.15	310.15	310.15	
559	55.64	310.15	310.15	310.15	
560	55.74	310.15	310.15	310.15	
561	55.84	310.15	310.15	310.15	
562	55.94	310.15	310.15	310.15	
563	56.04	310.15	310.15	310.15	
564	56.14	310.15	310.15	310.15	
565	56.24	310.15	310.15	310.15	
566	56.34	310.15	310.15	310.15	
567	56.44	310.15	310.15	310.15	
568	56.54	310.15	310.15	310.15	
569	56.64	310.15	310.15	310.15	
570	56.74	310.15	310.15	310.15	
571	56.84	310.15	310.15	310.15	
572	56.94	310.15	310.15	310.15	
573	57.04	310.15	310.15	310.15	
574	57.14	310.15	310.15	310.15	
575	57.24	310.15	310.15	310.15	
576	57.34	310.15	310.15	310.15	
577	57.44	310.15	310.15	310.15	
578	57.54	310.15	310.15	310.15	
579	57.64	310.15	310.15	310.15	
580	57.74	310.15	310.15	310.15	
581	57.84	310.15	310.15	310.15	
582	57.94	310.15	310.15	310.15	
583	58.04	310.15	310.15	310.15	
584	58.14	310.15	310.15	310.15	
585	58.24	310.15	310.15	310.15	
586	58.34	310.15	310.15	310.15	
587	58.44	310.15	310.15	310.15	
588	58.54	310.15	310.15	310.15	
589	58.64	310.15	310.15	310.15	
590	58.74	310.15	310.15	310.15	
591	58.84	310.15	310.15	310.15	
592	58.94	310.15	310.15	310.15	
593	59.04	310.15	310.15	310.15	
594	59.14	310.15	310.15	310.15	
595	59.24	310.15	310.15	310.15	
596	59.34	310.15	310.15	310.15	
597	59.44	310.15	310.15	310.15	
598	59.54	310.15	310.15	310.15	
599	59.64	310.15	310.15	310.15	
600	59.74	310.15	310.15	310.15	
601	59.84	310.15	310.15	310.15	
602	59.94	310.15	310.15	310.15	
